"target_id","comparator_id","outcome_id","analysis_id","rr","ci_95_lb","ci_95_ub","p","i_2","log_rr","se_log_rr","target_subjects","comparator_subjects","target_days","comparator_days","target_outcomes","comparator_outcomes","calibrated_p","calibrated_rr","calibrated_ci_95_lb","calibrated_ci_95_ub","calibrated_log_rr","calibrated_se_log_rr","database_id"
1772597,1772599,379805,1,0.848837209302323,0.620166793799209,1.15874022374996,0.304081110617327,NA,-0.163887855105119,0.159467271022839,7652,7652,3507903,3365092,115,112,0.414542073710326,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772599,137951,1,1.125,0.648865014286838,1.96222312697331,0.676516338708476,NA,0.117783035656381,0.282303313192811,7652,7652,3536193,3395363,38,32,0.596884560886863,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772599,261325,1,0.955357142857145,0.732505887082756,1.24534079275514,0.735861693490779,NA,-0.0456700368331858,0.135383386357221,7652,7652,3500904,3357882,149,147,0.919439160096229,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772599,197672,1,0.995780590717292,0.831483157724894,1.19251505095245,0.963339495852276,NA,-0.00422833610952844,0.0919937314499103,7652,7652,3417524,3299044,342,330,0.768869090055888,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772599,381292,1,0.974999999999998,0.626017892345367,1.51726781887527,0.9107412079024,NA,-0.025317807984292,0.225842812191709,7652,7652,3533436,3385307,51,53,0.966798274505377,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772599,4084229,1,1.93103448275862,1.24392941147181,3.06215925176673,0.00419044962124149,NA,0.658055860748676,0.229811634943248,7652,7652,3526015,3390345,80,53,0.00282739507550006,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772599,435796,1,1.06034482758622,0.822864331924552,1.36722808763612,0.6510104887271,NA,0.058594164266061,0.129530271524587,7652,7652,3487796,3357244,188,190,0.490611349269714,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772599,76161,1,1,0.50729627445431,1.97123466178749,1,NA,0,0.346261504629936,7652,7652,3537354,3392491,21,21,0.925907304265045,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772599,138825,1,1.19205298013245,0.960887045085631,1.48153936483404,0.111729203361417,NA,0.175677014075284,0.110456130285415,7652,7652,3448590,3319092,270,240,0.0662017159038526,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772599,312950,1,0.479166666666668,0.286496317033442,0.778506082534124,0.00391508006847803,NA,-0.735706794978738,0.255017727681236,7652,7652,3536380,3384177,29,52,0.00603842476816322,NA,NA,NA,NA,NA,"Open Claims"
1772597,1772599,441417,1,1.31818181818182,0.760037284595945,2.31880164854657,0.331636350581329,NA,0.276253376628158,0.284555817978289,7652,7652,3531544,3397113,41,31,0.280085838121037,NA,NA,NA,NA,NA,"Open Claims"
